repeat,seed,fold,eval_split,model,encoder,probability_mode,bin,n,confidence_mean,accuracy
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,42,0.46312053,0.33333333
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.5-0.6,59,0.54674393,0.55932203
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.6-0.7,43,0.64455186,0.65116279
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.7-0.8,29,0.75353046,0.65517241
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.8-0.9,16,0.84664264,0.81250000
1,20260606,3,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,2,0.96394185,1.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.3-0.4,5,0.39199125,0.80000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.4-0.5,22,0.45310223,0.40909091
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.5-0.6,30,0.54844682,0.60000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.6-0.7,40,0.64788761,0.47500000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.7-0.8,28,0.74432257,0.53571429
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.8-0.9,41,0.84996391,0.63414634
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.9-1.0,31,0.95014913,0.67741935
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.2-0.3,0,0.00000000,0.00000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.3-0.4,18,0.37714901,0.44444444
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.4-0.5,50,0.45453169,0.46000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.5-0.6,60,0.54293597,0.55000000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.6-0.7,40,0.64479185,0.72500000
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.7-0.8,22,0.75245620,0.59090909
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.8-0.9,7,0.84433415,0.85714286
1,20260606,4,test,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,temperature_scaled,0.9-1.0,0,0.00000000,0.00000000
1,20260606,4,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.0-0.1,0,0.00000000,0.00000000
1,20260606,4,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.1-0.2,0,0.00000000,0.00000000
1,20260606,4,val,tile_frozen_encoder_logistic,efficientnet_b0_tiles_meanmax,raw,0.2-0.3,0,0.00000000,0.00000000
